timeStep;prevPrice;prevCustomers;chosenAction;oldQValue;newQValue;rand;reward
31803;5.0;6;-4.0;217.226636534033;219.33810701384564;false;14.0
31804;1.0;14;2.0;228.15345223760627;227.01536172694267;false;30.0
31805;3.0;10;-2.0;218.90595747438073;219.1332507219262;false;14.0
31806;1.0;14;2.0;227.92583413547356;227.05627451150085;false;30.0
31807;3.0;10;-2.0;218.95141612388983;218.97672998961113;false;14.0
31808;1.0;14;2.0;227.75192221067903;216.649491750654;false;21.0
31809;3.0;7;-2.0;217.38832416739334;215.83662560125842;false;13.0
31810;1.0;13;2.0;225.37402844584267;232.89058186771652;false;36.0
31811;3.0;12;-2.0;218.76731318635169;216.9782925068066;false;14.0
31812;1.0;14;2.0;225.531436118674;216.3701860087497;false;21.0
31813;3.0;7;-2.0;217.07798445416634;216.80231239680916;false;12.0
31814;1.0;12;2.0;227.5581248853435;227.06083100733068;false;30.0
31815;3.0;10;-2.0;218.9564788970341;215.32926748702025;false;14.0
31816;1.0;14;2.0;223.69918609668915;226.4079329535282;false;30.0
31817;3.0;10;-2.0;218.23103661503131;215.81684192125127;false;14.0
31818;1.0;14;2.0;224.24093546805696;225.9733779086478;false;30.0
31819;3.0;10;-2.0;217.7481976762753;216.1286815605576;false;14.0
31820;1.0;14;2.0;224.58742395617512;220.1429680099951;false;24.0
31821;3.0;8;-2.0;217.93663112221677;215.3286794902452;false;14.0
31822;1.0;14;2.0;223.6985327669391;219.67353671624022;false;24.0
31823;3.0;8;-2.0;217.41504079582245;215.35224067994383;false;11.0
31824;1.0;11;2.0;227.0580451999376;225.6818650078186;false;30.0
31825;3.0;10;-2.0;217.42429445313178;220.9676035690935;false;17.0
31826;1.0;17;2.0;226.63067063232612;226.31966064869172;false;30.0
31827;3.0;10;-2.0;218.13295627632414;214.6041802011194;false;14.0
31828;1.0;14;2.0;222.89353355679933;225.6844809551549;false;30.0
31829;3.0;10;-2.0;217.4272010612832;215.1065507328234;false;14.0
31830;1.0;14;2.0;223.45172303647044;225.26676389603213;false;30.0
31831;3.0;10;-2.0;216.96307099559124;215.4332580875445;false;14.0
31832;1.0;14;2.0;223.81473120838277;224.9913975725837;false;30.0
31833;3.0;10;-2.0;216.6571084139819;215.64505803310067;false;14.0
31834;1.0;14;2.0;224.05006448122296;232.5685581453984;false;36.0
31835;3.0;12;-2.0;218.40950905044267;217.18960521719572;false;13.0
31836;1.0;13;2.0;226.87733913021745;224.80922850402507;false;30.0
31837;3.0;10;-2.0;216.45469833780564;218.67998830333016;false;15.0
31838;1.0;15;2.0;226.3110981148113;216.3205650384254;false;21.0
31839;3.0;7;-2.0;217.0228500426949;216.8816923495807;false;15.0
31840;1.0;15;2.0;224.31299149953412;225.2097806978195;false;30.0
31841;5.0;10;4.0;226.68043420159756;238.12388240265207;false;35.0
31842;7.0;5;-4.0;225.6932026696134;225.2097806978195;false;30.0
31843;3.0;10;-2.0;216.89975633091055;217.17838689265224;false;14.0
31844;1.0;14;2.0;225.75376321405804;225.259934198933;false;30.0
31845;3.0;10;-2.0;216.9554824432589;216.81734530448108;false;13.0
31846;1.0;13;2.0;226.46371700497897;219.30223269538206;false;24.0
31847;3.0;8;-2.0;217.00248077264672;217.0431144052721;false;15.0
31848;1.0;15;2.0;224.4923493391912;216.29515665366486;false;21.0
31849;3.0;7;-2.0;216.99461850407206;215.56761972187735;false;15.0
31850;1.0;15;2.0;222.85291080208594;225.235069513953;false;30.0
31851;3.0;10;-2.0;216.92785501550333;220.91162177203933;false;17.0
31852;1.0;17;2.0;226.56846863559923;223.1599474237574;false;27.0
31853;3.0;9;-2.0;217.9554971375082;217.08949766992973;false;14.0
31854;1.0;14;2.0;225.65499741103304;225.95214753012948;false;30.0
31855;3.0;10;-2.0;217.72460836681051;215.99640829001342;false;15.0
31856;1.0;15;2.0;223.32934254445937;219.30954674925462;false;24.0
31857;3.0;8;-2.0;217.01060749917178;216.71279949876686;false;12.0
31858;1.0;12;2.0;227.45866610974093;225.641071516306;false;30.0
31859;3.0;10;-2.0;217.3789683514511;217.1429846913671;false;14.0
31860;1.0;14;2.0;225.71442743485233;225.5985944574909;false;30.0
31861;3.0;10;-2.0;217.3317716194343;216.38563247194855;false;12.0
31862;1.0;12;2.0;227.09514719105394;242.85141876145303;false;39.0
31863;3.0;13;2.0;226.50157640161447;225.88403756699597;false;30.0
31864;5.0;6;-4.0;217.64893062999553;217.12213475544206;false;14.0
31865;1.0;14;2.0;225.69126083938005;242.7402617712217;false;39.0
31866;3.0;13;2.0;226.37806863469078;251.17154828490635;false;45.0
31867;5.0;9;-2.0;229.07949809434038;225.42828941094345;false;30.0
31868;3.0;10;-2.0;217.14254378993715;220.19095492317354;false;14.0
31869;1.0;14;2.0;229.10106102574838;225.97700341492597;false;30.0
31870;3.0;10;-2.0;217.75222601658442;220.29808795390778;false;17.0
31871;1.0;17;2.0;225.88676439323086;232.34897545541395;false;36.0
31872;3.0;12;-2.0;218.16552828379326;219.6286245532255;false;14.0
31873;1.0;14;2.0;228.4762495035839;226.4352585636442;false;30.0
31874;3.0;10;-2.0;218.2613984040491;219.26124618403634;false;14.0
31875;1.0;14;2.0;228.06805131559594;226.6152311640419;false;30.0
31876;3.0;10;-2.0;218.46136796004654;215.52827812875364;false;13.0
31877;1.0;13;2.0;225.0314201430596;226.08727499440917;false;30.0
